Interval,pkt_count,len_mean,len_std,len_max,DHCP,DNS,HTTP,ICMP,IGMPv2,MDNS,NTP,OCSP,QUIC,SSLv2,TCP,"TCP, HiPerConTracer",TLSv1.2,TLSv1.3,UDP,tcp_ratio,udp_ratio
171,428,673.7359813084112,666.8576230211894,1514,0,14,0,0,0,0,0,0,0,0,216,0,80,118,0,0.5046728971962616,0.0
172,130,381.0,528.6341036140933,1514,0,2,0,4,0,0,0,0,4,0,80,0,2,38,0,0.6153846153846154,0.0
173,191,856.1151832460733,689.0977375714932,1514,0,4,0,0,0,0,0,0,0,0,142,0,22,23,0,0.743455497382199,0.0
174,63,465.46031746031747,555.4331592258781,1454,0,0,0,0,0,0,0,0,24,0,25,0,0,14,0,0.3968253968253968,0.0
175,69,496.71014492753625,605.855086086387,1454,0,0,0,0,0,0,0,0,0,0,50,0,5,14,0,0.7246376811594203,0.0
176,145,241.4551724137931,359.05632449114194,1454,0,0,0,0,0,0,0,0,0,0,77,0,0,68,0,0.5310344827586206,0.0
177,247,390.4412955465587,528.2393323783126,1466,0,4,0,0,0,0,0,0,28,0,130,0,29,56,0,0.5263157894736842,0.0
178,64,331.71875,495.60626553394974,1510,0,6,0,0,0,0,0,0,0,0,34,0,2,22,0,0.53125,0.0
179,159,839.0062893081761,691.8393617682068,1514,0,10,0,0,0,0,0,0,0,0,109,0,29,11,0,0.6855345911949685,0.0
180,164,775.5,702.8573802219872,1514,0,0,0,0,0,0,0,0,18,0,113,0,23,10,0,0.6890243902439024,0.0
181,24,80.54166666666667,23.50574243746051,131,0,0,0,0,0,0,0,0,0,0,15,0,5,4,0,0.625,0.0
182,226,1015.2743362831858,675.0227024697448,1514,0,0,0,0,0,0,0,0,0,0,180,0,44,2,0,0.7964601769911505,0.0
183,239,719.7405857740586,676.9541148393848,1514,0,4,0,0,0,0,0,0,0,0,97,0,61,77,0,0.40585774058577406,0.0
184,85,325.56470588235294,514.0938733774774,1514,0,8,0,0,0,0,0,0,0,0,49,0,2,26,0,0.5764705882352941,0.0
185,203,883.35960591133,695.178995216299,1514,0,8,0,0,0,0,0,0,0,0,151,0,29,15,0,0.7438423645320197,0.0
186,123,592.2520325203252,645.3634964237805,1514,0,6,0,0,0,0,0,0,20,0,67,0,10,20,0,0.5447154471544715,0.0
187,95,744.7789473684211,689.784258269444,1514,0,0,0,0,0,0,0,0,0,0,65,0,13,17,0,0.6842105263157895,0.0
188,19,297.63157894736844,512.6421982160783,1494,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0.6842105263157895,0.0
189,268,669.0410447761194,667.8965038702106,1514,0,6,0,0,0,0,0,0,37,0,161,0,24,40,0,0.6007462686567164,0.0
190,173,758.8150289017341,699.943428282654,1514,0,0,0,0,0,0,0,0,0,0,128,0,21,24,0,0.7398843930635838,0.0
191,873,709.5463917525773,676.0066011050033,1514,0,10,0,0,0,0,0,0,0,0,651,0,0,212,0,0.7457044673539519,0.0
192,304,867.108552631579,681.5756822390894,1494,0,0,0,0,0,0,0,0,15,0,226,0,3,60,0,0.743421052631579,0.0
193,328,764.3871951219512,691.5927100055216,1514,0,2,0,0,0,0,0,0,0,0,273,0,0,53,0,0.8323170731707317,0.0
194,114,472.85087719298247,587.3398743556182,1514,0,2,0,0,0,0,0,0,0,0,70,0,0,42,0,0.6140350877192983,0.0
195,172,761.3139534883721,675.3238471412155,1494,0,4,0,0,0,0,0,0,0,0,58,0,28,82,0,0.3372093023255814,0.0
196,113,500.6991150442478,617.3928461822885,1494,0,4,0,0,0,0,0,0,0,0,74,0,2,33,0,0.6548672566371682,0.0
197,121,929.7272727272727,687.6847388156873,1514,0,4,0,0,0,0,0,0,0,0,96,0,8,13,0,0.7933884297520661,0.0
198,29,331.86206896551727,478.61449773113185,1292,0,0,0,0,0,0,0,0,16,0,9,0,0,4,0,0.3103448275862069,0.0
199,60,563.9666666666667,660.1887754339962,1514,0,4,0,0,0,0,0,0,0,0,38,0,5,13,0,0.6333333333333333,0.0
200,6,72.66666666666667,15.731073284002802,94,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0.6666666666666666,0.0
201,4,60.0,6.928203230275509,66,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0,0.0
