Time,Source,Destination,Protocol,Length
14.341348,34.128.9.170,172.30.1.7,TLSv1.2,117
14.341349,34.128.9.170,172.30.1.7,TLSv1.2,1466
14.34135,34.128.9.170,172.30.1.7,TLSv1.2,719
14.341352,34.128.9.170,172.30.1.7,TLSv1.2,1466
14.341353,34.128.9.170,172.30.1.7,TLSv1.2,311
14.341355,34.128.9.170,172.30.1.7,TLSv1.2,130
14.341468,172.30.1.7,34.128.9.170,TCP,66
14.341663,172.30.1.7,34.128.9.170,TCP,66
14.341757,172.30.1.7,34.128.9.170,TLSv1.2,118
14.341767,172.30.1.7,34.128.9.170,TLSv1.2,101
14.346127,34.128.9.170,172.30.1.7,TCP,130
14.346183,172.30.1.7,34.128.9.170,TCP,78
14.347842,34.128.9.170,172.30.1.7,TCP,66
14.347844,34.128.9.170,172.30.1.7,TCP,66
14.856671,172.30.1.7,168.126.63.2,DNS,84
14.856711,172.30.1.7,168.126.63.2,DNS,84
14.866432,168.126.63.2,172.30.1.7,DNS,100
14.867147,168.126.63.2,172.30.1.7,DNS,144
14.867929,172.30.1.7,172.217.25.174,QUIC,1292
14.867953,172.30.1.7,172.217.25.174,QUIC,1292
14.868033,172.30.1.7,172.217.25.174,QUIC,121
14.888255,172.30.1.7,34.128.9.170,TCP,1466
14.888268,172.30.1.7,34.128.9.170,TLSv1.2,351
14.894619,34.128.9.170,172.30.1.7,TCP,66
14.911533,172.217.25.174,172.30.1.7,QUIC,82
14.914536,172.217.25.174,172.30.1.7,QUIC,1292
14.9419,172.217.25.174,172.30.1.7,QUIC,1292
14.941902,172.217.25.174,172.30.1.7,QUIC,338
14.941903,172.217.25.174,172.30.1.7,QUIC,996
14.941904,172.217.25.174,172.30.1.7,QUIC,73
14.941905,172.217.25.174,172.30.1.7,QUIC,66
14.942167,172.30.1.7,172.217.25.174,QUIC,120
14.942182,172.30.1.7,172.217.25.174,QUIC,73
14.94227,172.30.1.7,172.217.25.174,QUIC,1084
15.035946,172.30.1.7,172.217.25.174,QUIC,1152
15.059835,172.217.25.174,172.30.1.7,QUIC,162
15.059836,172.217.25.174,172.30.1.7,QUIC,69
15.059837,172.217.25.174,172.30.1.7,QUIC,587
15.059839,172.217.25.174,172.30.1.7,QUIC,63
15.060046,172.30.1.7,172.217.25.174,QUIC,74
15.060104,172.30.1.7,172.217.25.174,QUIC,77
15.080275,34.128.9.170,172.30.1.7,TLSv1.2,145
15.080276,34.128.9.170,172.30.1.7,TLSv1.2,238
15.080278,34.128.9.170,172.30.1.7,TLSv1.2,117
15.080374,172.30.1.7,34.128.9.170,TCP,66
15.080547,172.30.1.7,34.128.9.170,TLSv1.2,118
